"Program_Title","Institution","Level","Link","Language","Country","ECTS","Free_Tuition_EU","latitude","longitude"
"Art & Science","Universität für angewandte Kunst Wien","Master","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/media-design/40-art-science-e-12-3-wien.en.html","English","Austria",NA,"Yes","41.997064","21.403741"
"Bass Tuba","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/78-bass-tuba-2-3-salzburg.en.html","German","Austria",180,"Yes","41.795976","12.254124"
"Bass Tuba","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/79-bass-tuba-12-3-salzburg.en.html","German","Austria",NA,"Yes","41.795976","12.254124"
"Art Education","Universität Mozarteum Salzburg, Verbundregion Mitte","Bachelor","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/art-education/100-art-education-21-3-salzburg.en.html","German","Austria",180,"Yes","47.805139","13.038069"
"Art Education","Kunstuniversität Linz, Verbundregion Mitte","Bachelor","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/art-education/101-art-education-21-3-linz.en.html","German","Austria",180,"Yes","51.05755","13.717065"
"Cinematography","Universität für Musik und darstellende Kunst Wien","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/102-cinematography-2-3-wien.en.html","German","Austria",180,"Yes","48.296847","14.31715"
"Camera Technology and Cinematography","Universität für Musik und darstellende Kunst Wien","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/103-camera-technology-and-cinematography-12-3-wien.en.html","German","Austria",NA,"Yes","48.296847","14.31715"
"Wind Orchestra Conducting","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/130-wind-orchestra-conducting-12-3-salzburg.en.html","German","Austria",NA,"Yes","41.795976","12.254124"
"Recorder","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/131-recorder-2-3-salzburg.en.html","German","Austria",180,"Yes","41.795976","12.254124"
"Recorder","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/132-recorder-12-3-salzburg.en.html","German","Austria",NA,"Yes","41.795976","12.254124"
"Screenwriting","Universität für Musik und darstellende Kunst Wien","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/140-screenwriting-2-3-wien.en.html","German","Austria",180,"Yes","48.296847","14.31715"
